Country,Indicator_x,Unit_Measure(T),Pesticide_Type,Year,Tonnes,Indicator_y,Unit_Measure(kg/ha),Kg_per_ha
Angola,Pesticides Agricultural Use,Tonnes,Insecticides,1991,74.0,Pesticides Use per area of cropland,Kilogram per hectare,0.03
Angola,Pesticides Agricultural Use,Tonnes,Herbicides,1991,0.0,Pesticides Use per area of cropland,Kilogram per hectare,0.03
Angola,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1991,5.0,Pesticides Use per area of cropland,Kilogram per hectare,0.03
Angola,Pesticides Agricultural Use,Tonnes,Pesticides (total),1991,79.0,Pesticides Use per area of cropland,Kilogram per hectare,0.029999999999999995
Botswana,Pesticides Agricultural Use,Tonnes,Insecticides,1991,255.0,Pesticides Use per area of cropland,Kilogram per hectare,1.1
Botswana,Pesticides Agricultural Use,Tonnes,Herbicides,1991,51.0,Pesticides Use per area of cropland,Kilogram per hectare,1.1
Botswana,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1991,19.0,Pesticides Use per area of cropland,Kilogram per hectare,1.1
Botswana,Pesticides Agricultural Use,Tonnes,Pesticides (total),1991,325.0,Pesticides Use per area of cropland,Kilogram per hectare,1.1
Lesotho,Pesticides Agricultural Use,Tonnes,Insecticides,1991,0.0,Pesticides Use per area of cropland,Kilogram per hectare,0.02
Lesotho,Pesticides Agricultural Use,Tonnes,Herbicides,1991,3.0,Pesticides Use per area of cropland,Kilogram per hectare,0.02
Lesotho,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1991,0.0,Pesticides Use per area of cropland,Kilogram per hectare,0.02
Lesotho,Pesticides Agricultural Use,Tonnes,Pesticides (total),1991,3.0,Pesticides Use per area of cropland,Kilogram per hectare,0.02
Mozambique,Pesticides Agricultural Use,Tonnes,Insecticides,1991,27.0,Pesticides Use per area of cropland,Kilogram per hectare,0.03
Mozambique,Pesticides Agricultural Use,Tonnes,Herbicides,1991,3.0,Pesticides Use per area of cropland,Kilogram per hectare,0.03
Mozambique,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1991,22.0,Pesticides Use per area of cropland,Kilogram per hectare,0.03
Mozambique,Pesticides Agricultural Use,Tonnes,Pesticides (total),1991,52.0,Pesticides Use per area of cropland,Kilogram per hectare,0.029999999999999995
Malawi,Pesticides Agricultural Use,Tonnes,Insecticides,1991,82.0,Pesticides Use per area of cropland,Kilogram per hectare,0.07
Malawi,Pesticides Agricultural Use,Tonnes,Herbicides,1991,51.0,Pesticides Use per area of cropland,Kilogram per hectare,0.07
Malawi,Pesticides Agricultural Use,Tonnes,Fungicides and Bactericides,1991,0.0,Pesticides Use per area of cropland,Kilogram per hectare,0.07
Malawi,Pesticides Agricultural Use,Tonnes,Pesticides (total),1991,133.0,Pesticides Use per area of cropland,Kilogram per hectare,0.07
Namibia,Pesticides Agricultural Use,Tonnes,Insecticides,1991,81.0,Pesticides Use per area of cropland,Kilogram per hectare,0.87
Namibia,Pesticides Agricultural Use,Tonnes,Herbicides,1991,159.0,Pesticides Use per area of cropland,Kilogram per hectare,0.87
